경락일자,경매시간,경매구분코드,경매구분코드명,시장코드,시장명,구시장코드,구시장명,도매시장법인코드,법인명,구법인코드,구법인명,경매원표번호,일련번호,부류코드,부류명,구부류코드,구부류명,품목코드,품목명,구품목코드,구품목명,품종코드,품종명,구품종코드,구품종명,거래단량,단위코드,단위명,포장상태코드,포장상태명,크기코드,크기명,등급코드,등급명,법인사용품목코드,법인사용품목명,거래가격,출하구분코드,출하구분명,산지코드,산지명,구산지코드,구산지명,거래량,데이터기준일자,제공기관코드,제공기관명
2017-01-03,2017-01-03 11:52:08,2,정가수의,100560,가락동농수산물시장,110001,서울가락도매시장,600560,서울청과,110001,서울청과,1000578327103,62862,09,과채류,08,과일과채류,9090,딸기,8040,딸기,909130,설향,804130,설향,2,12,kg,107,파렛트,181,특대,11,특,20416,딸기,20000,2,계통,52200,경상남도 산청군,666000,경상남도 산청군,5,2018-01-11,,
2017-01-03,2017-01-03 11:52:08,1,경매,100560,가락동농수산물시장,110001,서울가락도매시장,600560,서울청과,110001,서울청과,10007317445600,13771,06,과실류,06,과실류,6050,감,6050,단감,605010,부유,605010,부유,10,12,kg,101,상자,124,40내,11,특,10407,감,26000,3,개별,59000,전라남도 해남군,536000,전라남도 해남군,18,2018-01-11,,
2017-01-03,2017-01-03 11:52:08,1,경매,100560,가락동농수산물시장,110001,서울가락도매시장,600560,서울청과,110001,서울청과,10009185834047,46883,09,과채류,09,과채류,9010,오이,9010,오이,901020,백다다기,901020,백다다기,18,12,kg,101,상자,124,기타,13,보통,30102,오이,34500,2,계통,17500,경기도 안성시,456000,경기도 안성시,1,2018-01-11,,
2017-01-03,2017-01-03 11:52:08,2,정가수의,100560,가락동농수산물시장,110001,서울가락도매시장,600560,서울청과,110001,서울청과,10044607061001,66613,09,과채류,08,과일과채류,9090,딸기,8040,딸기,909130,설향,804130,설향,2,12,kg,107,파렛트,181,특대,11,특,20416,딸기,17000,2,계통,54500,전라북도 익산시,570000,전라북도 익산시,7,2018-01-11,,
2017-01-03,2017-01-03 11:52:08,1,경매,100560,가락동농수산물시장,110001,서울가락도매시장,600560,서울청과,110001,서울청과,10088756933968,87813,06,과실류,06,과실류,6140,감귤,6140,감귤,614990,기타,614990,기타,5,12,kg,101,상자,184,소,11,특,10301,감귤,9000,1,협동,63500,제주특별자치도 서귀포시,697000,제주도 서귀포시,80,2018-01-11,,
2017-01-03,2017-01-03 11:52:08,1,경매,100560,가락동농수산물시장,110001,서울가락도매시장,600560,서울청과,110001,서울청과,10112119106963,12164,09,과채류,09,과채류,9010,오이,9010,오이,901010,취청,901010,취청,20,12,kg,101,상자,124,기타,12,상,30101,오이,38500,2,계통,57600,전라남도 구례군,542000,전라남도 구례군,2,2018-01-11,,
2017-01-03,2017-01-03 11:52:08,1,경매,100560,가락동농수산물시장,110001,서울가락도매시장,600560,서울청과,110001,서울청과,1012556814651,2628,06,과실류,06,과실류,6010,사과,6010,사과,601390,미시마,601390,미시마,10,12,kg,101,상자,123,30내,11,특,10148,사과,22000,3,개별,36200,경상북도 봉화군,755000,경상북도 봉화군,53,2018-01-11,,
2017-01-03,2017-01-03 11:52:08,1,경매,100560,가락동농수산물시장,110001,서울가락도매시장,600560,서울청과,110001,서울청과,10136215173515,46082,09,과채류,08,과일과채류,9090,딸기,8040,딸기,909130,설향,804130,설향,2,12,kg,101,상자,181,특대,11,특,20416,딸기,13000,2,계통,52200,경상남도 산청군,666000,경상남도 산청군,9,2018-01-11,,
2017-01-03,2017-01-03 11:52:08,1,경매,100560,가락동농수산물시장,110001,서울가락도매시장,600560,서울청과,110001,서울청과,10145852229419,23185,10,엽경채류,10,엽경채류,1008,시금치,1008,시금치,100801,시금치(일반),100801,시금치(일반),0.5,12,kg,101,상자,124,기타,11,특,42001,시금치,780,2,계통,11100,경기도 포천시,487000,경기도 포천시,590,2018-01-11,,
