조사일자,조사구분코드,조사구분명,품목코드,품목명,조사가격품목코드,조사가격품목명,품종코드,품종명,조사가격품종코드,조사가격품종명,조사등급코드,조사등급명,단위코드,단위명,조사단위명,당일조사가격,전일조사가격,조사지역코드,조사지역명,시장코드,시장명,조사가격시장코드,조사가격시장명,데이터기준일자,제공기관코드,제공기관명
2018-01-03,1,소비자가격,1010,벼,111,쌀,101010,일반계,22311,일반계,01,상,15,농산물20kg,20KG,42000,42000,1102,서울서부,400251,경동시장,120000,경동시장,2018-01-11,,
2018-01-03,1,소비자가격,1010,벼,111,쌀,101010,일반계,22311,일반계,01,상,15,농산물20kg,20KG,44200,44200,1102,서울서부,400251,복조리시장,120000,복조리시장,2018-01-11,,
2018-01-03,1,소비자가격,1010,벼,111,쌀,101010,일반계,22311,일반계,01,상,15,농산물20kg,20KG,43300,43300,1102,서울서부,400251,영등포 유통상가,120000,영등포시장,2018-01-11,,
2018-01-03,1,도매가격,1010,벼,111,쌀,101010,일반계,22311,일반계,01,상,15,농산물20kg,20KG,39500,39500,1102,서울서부,400251,양재동양곡도매시장,120000,양곡도매시장,2018-01-11,,
2018-01-03,1,도매가격,1010,벼,111,쌀,101010,일반계,22311,일반계,01,상,15,농산물20kg,20KG,38500,38500,1102,서울서부,400251,양재동양곡도매시장,120000,양곡도매시장,2018-01-11,,
2018-01-03,1,소비자가격,1010,벼,111,쌀,101010,일반계,22311,일반계,01,상,15,농산물20kg,20KG,42800,42800,1104,서울,400251,롯데마트 잠실점,120000,E-유통,2018-01-11,,
2018-01-03,1,소비자가격,1010,벼,111,쌀,101010,일반계,22311,일반계,01,상,15,농산물20kg,20KG,43900,43900,1104,서울,400251,홈플러스 금천점,120000,A-유통,2018-01-11,,
2018-01-03,1,소비자가격,1010,벼,111,쌀,101010,일반계,22311,일반계,01,상,15,농산물20kg,20KG,39900,39900,1104,서울,400251,이마트 수색점,120000,C-유통,2018-01-11,,
2018-01-03,1,소비자가격,1010,벼,111,쌀,101010,일반계,22311,일반계,01,상,15,농산물20kg,20KG,42300,42300,1104,서울,400251,하나로클럽 양재점,120000,B-유통,2018-01-11,,
