원천도형ID,고유번호,법정동코드,법정동명,지번,지번지목부호,데이터기준일자,제공기관코드,제공기관명
61441,1154510100106220000,1111010100,청운동,46-14,622-2도,2018-01-11,,
61442,1154510100105150000,1111010100,청운동,3-100,515-48도,2018-01-11,,
61443,1154510100105190000,1111010200,신교동,3-100,519-2도,2018-01-11,,
61444,1154510100105150000,1111010300,궁정동,3-100,515-13구,2018-01-11,,
61445,1154510100105050000,1111010400,효자동,3-100,505-11도,2018-01-11,,
61446,1154510100105150000,1111010500,창성동,3-100,515-33도,2018-01-11,,
61447,1154510100106140000,1111010600,통의동,3-100,614-65제,2018-01-11,,
61448,1154510100106140000,1111010700,적선동,3-100,614-64천,2018-01-11,,
61449,1154510100105150000,1111010800,통인동,46-14,515-29도,2018-01-11,,
61450,1154510100105150000,1111010900,누상동,46-14,515-26구,2018-01-11,,
61451,1154510100105350000,1111011000,누하동,46-14,535-121제,2018-01-11,,
